Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
0,Amanda Ribas,0,7,1,0,Women's Strawweight,0,KO/TKO,2
1,Arman Tsarukyan,0,50,10,0,Lightweight,0,U-DEC,3
0,Matt Frevola,0,16,0,0,Lightweight,0,U-DEC,3
1,Brad Tavares,0,54,0,0,Middleweight,0,U-DEC,3
0,Antonio Carlos Junior,0,34,1,0,Middleweight,0,U-DEC,3
1,Julianna Pena,0,38,1,1,Women's Bantamweight,0,SUB,3
0,Sara McMann,0,21,3,0,Women's Bantamweight,0,SUB,3
1,Marcin Prachnio,0,102,0,0,Light Heavyweight,0,U-DEC,3
0,Khalil Rountree Jr.,0,49,0,0,Light Heavyweight,0,U-DEC,3
1,Movsar Evloev,0,82,2,0,Catch Weight,0,S-DEC,3
0,Nik Lentz,0,46,1,2,Catch Weight,0,S-DEC,3
1,Amir Albazi,0,68,2,0,Flyweight,0,U-DEC,3
0,Zhalgas Zhumagulov,0,59,1,0,Flyweight,0,U-DEC,3
1,Michael Chiesa,0,24,4,0,Welterweight,0,U-DEC,5
0,Neil Magny,0,12,1,1,Welterweight,0,U-DEC,5
1,Warlley Alves,1,17,1,0,Welterweight,0,KO/TKO,1
0,Mounir Lazzez,0,2,0,0,Welterweight,0,KO/TKO,1
1,Ike Villanueva,1,24,0,0,Light Heavyweight,0,KO/TKO,2
0,Vinicius Moreira,0,24,0,0,Light Heavyweight,0,KO/TKO,2
1,Viviane Araujo,0,86,4,1,Women's Flyweight,0,U-DEC,3
0,Roxanne Modafferi,0,46,0,0,Women's Flyweight,0,U-DEC,3
1,Matt Schnell,0,85,0,0,Flyweight,0,S-DEC,3
0,Tyson Nam,0,58,0,0,Flyweight,0,S-DEC,3
1,Lerone Murphy,0,48,1,0,Featherweight,0,U-DEC,3
0,Douglas Silva de Andrade,0,39,1,0,Featherweight,0,U-DEC,3
1,Omari Akhmedov,0,25,2,1,Middleweight,0,SUB,2
0,Tom Breese,0,1,0,3,Middleweight,0,SUB,2
1,Ricky Simon,0,17,7,1,Bantamweight,0,SUB,2
0,Gaetano Pirrello,0,6,0,0,Bantamweight,0,SUB,2
1,Su Mudaerji,0,50,0,0,Flyweight,0,U-DEC,3
